Date,Decentraland,Sandbox
2021-11-06,10036.068133333332,8935.36912
2021-11-07,11167.706640000002,6323.331566192046
2021-11-08,11049.65724,6657.872682857488
2021-11-09,9624.599914285714,6176.851245087942
2021-11-10,11064.917712499999,6389.982340780329
2021-11-11,9784.142682416668,6880.326083128279
2021-11-12,11336.418882433332,7438.541953332717
2021-11-13,12505.95679842061,6629.776990747124
2021-11-14,15710.320351101514,8493.383254184519
2021-11-15,12761.482286956518,9861.502312577406
2021-11-16,13347.907453746167,10163.038270637106
2021-11-17,13043.178325,10907.127686868906
2021-11-18,13333.345532,10545.060627546125
2021-11-19,15954.66049456522,12501.745921500366
2021-11-20,15436.76032040638,13868.726148897715
2021-11-21,14366.41446875,13740.92210579662
2021-11-22,15598.343586956524,13844.59999331484
2021-11-23,16393.637853468255,14224.393896984617
2021-11-24,16448.66775988259,14691.811127138817
2021-11-25,18532.965605701746,16070.223275032096
2021-11-26,18122.62639027647,15848.926322228413
2021-11-27,17931.574872000005,15701.532934920262
2021-11-28,16687.16730839181,16342.301788468812
2021-11-29,17727.36308235294,16204.857619146847
2021-11-30,20461.970771591074,14892.63333735317
2021-12-01,19152.634586526317,12174.400400949851
2021-12-02,19134.694956383668,12980.061768630865
2021-12-03,16496.752483537184,13344.986934938028
2021-12-04,13752.247952510632,14116.00611590742
2021-12-05,15594.356461176474,14547.871714661842
2021-12-06,16921.71922741935,14000.759627807814
2021-12-07,15915.927388235294,13966.788893169942
2021-12-08,16228.205341249999,13246.252522190554
2021-12-09,14959.972914285716,13113.810817004913
2021-12-10,15267.41874581818,12839.102003552285
2021-12-11,15903.521569523811,12966.962587752309
2021-12-12,16573.85592909091,14128.532081769623
2021-12-13,15550.593007473128,13485.1533064061
2021-12-14,14150.734774999997,13491.210523728203
2021-12-15,14605.3316,13584.991866134691
2021-12-16,13790.771891566315,13314.849468119655
2021-12-17,14594.422358823527,14541.059416811599
2021-12-18,16375.500331473688,13240.42073539571
2021-12-19,13636.848683333332,13020.089334091786
2021-12-20,15718.022981818183,13333.040308678803
2021-12-21,15255.256750833332,12893.426836513883
2021-12-22,16048.593300846127,13182.866783911917
2021-12-23,17168.28902112034,14020.257766262503
2021-12-24,15283.547252128643,12847.775755512417
2021-12-25,14991.451191999999,12947.691607412944
2021-12-26,16963.740629166667,14448.251385928806
2021-12-27,17870.219458000003,14291.191848761899
2021-12-28,13697.262321875001,13170.020705531146
2021-12-29,13852.384314285713,13506.128707200874
2021-12-30,10757.329114180773,13972.453352302364
2021-12-31,16312.16307254902,13206.768886064794
2022-01-01,11677.405612142857,14051.947200790939
2022-01-02,14073.626201999996,15097.78982162338
2022-01-03,14999.348416931763,15251.491652993465
2022-01-04,16513.86640394286,13985.953166506924
2022-01-05,15552.583648235293,14405.86389307042
2022-01-06,15140.328229411763,15012.71661330749
2022-01-07,13693.959505428571,13134.879309092325
2022-01-08,14450.421812222223,10692.727393118103
2022-01-09,14163.118518500001,12861.966082500003
2022-01-10,14583.958115000001,11379.018950896238
2022-01-11,14825.607835929666,12248.827751251394
2022-01-12,16624.656366385636,12892.36705360759
2022-01-13,14708.832707166475,13826.270836865904
2022-01-14,13975.036876190476,14265.841220239907
2022-01-15,14984.752211433331,14169.757388591237
2022-01-16,15756.98542,14032.202895512193
2022-01-17,16430.34763837229,14139.825548888897
2022-01-18,14424.625516666667,12121.311158354698
2022-01-19,13458.475060211764,11541.383267344178
2022-01-20,13540.331858823529,11595.62038077193
2022-01-21,12333.518492695654,9794.681449092972
2022-01-22,11739.36434944286,8907.740733754788
2022-01-23,11186.5451509,9950.165046850787
2022-01-24,10404.065970916667,8929.702961418441
2022-01-25,11202.827834615386,10125.183252506435
2022-01-26,12033.087979499998,10456.18310799718
2022-01-27,13564.41270903703,9384.82930393464
2022-01-28,11556.018590882351,17933.29804835583
2022-01-29,17607.49142857143,10930.674660247618
2022-01-30,13716.294824958095,11474.868029494952
2022-01-31,15803.662327928572,10606.435448850772
2022-02-01,15446.217591999997,11068.84306725222
2022-02-02,12192.142907692305,11153.17996436837
2022-02-03,14265.221332307692,12429.064702222226
2022-02-04,14945.826445346152,13120.069055602344
2022-02-05,16829.031750000006,16029.694666930287
2022-02-06,16034.637543846153,12791.1367815
2022-02-07,18817.918186363637,13408.939268798096
2022-02-08,15182.468652621426,12587.407077212003
2022-02-09,18686.903178705878,14517.863222830414
2022-02-10,15286.392621874998,11926.209219070024
2022-02-11,16094.511843541666,11784.127481414
2022-02-12,14863.850036363636,12079.71156974235
2022-02-13,13109.5940625,11331.690125357136
2022-02-14,13443.024999999998,13009.85544312575
2022-02-15,17174.15745,13974.360339506697
2022-02-16,15772.080821960784,12123.124314102564
2022-02-17,14907.514331999997,12709.42371657995
2022-02-18,15231.988799999996,12496.972194800546
2022-02-19,14077.365866875,12826.859593685715
2022-02-20,11700.734026666667,10850.076933149068
2022-02-21,13609.463716399998,10344.996656520467
2022-02-22,12681.745003846154,10509.083822475
2022-02-23,13218.075125,10368.199195539451
2022-02-24,12859.081199999999,9429.730061415177
2022-02-25,18360.735487499995,9571.924428178292
2022-02-26,14220.496616925515,9954.995608447995
2022-02-27,11941.73900857143,9664.724649434296
2022-02-28,14295.701000000001,10408.03457713158
2022-03-01,13552.273198285713,10883.156514869677
2022-03-02,27719.547,9704.073719722892
2022-03-03,13482.76772222222,9444.424906581195
2022-03-04,12009.447,8799.843465333333
2022-03-05,12626.460271428572,8922.197292222223
